guestShotsBlocks,guestIntercepttions,guestRedCard,guestYellowCard,half,homeYellowCard,homeTacklesConneceded,guestPassBlocks,homePassBlocks,homeClearances,matchHalf,homeRedCard,guestTackles,homeShotsBlocks,homeFoul,guestFoul,matchId,homeIntercepttions,homeTackles,guestClearances,guestTacklesConneceded,l_team,r_team
2,4,0,1,1,1,0,1,4,7,0,0,6,0,10,8,17318,5,2,15,0,江苏苏宁易购,大连人
0,12,0,3,2,2,0,5,2,13,0,0,11,3,5,10,17318,9,11,10,0,江苏苏宁易购,大连人
0,13,0,2,0,2,0,2,8,26,0,0,14,1,16,19,17319,12,17,15,0,山东鲁能泰山,上海绿地申花
0,9,0,1,1,0,0,0,5,11,0,0,6,1,7,8,17319,6,12,6,0,山东鲁能泰山,上海绿地申花
0,4,0,1,2,2,0,2,3,15,0,0,8,0,9,11,17319,6,5,9,0,山东鲁能泰山,上海绿地申花
6,3,0,4,0,3,0,10,2,20,0,0,11,2,13,11,17320,6,9,9,0,河南建业,广州富力
3,0,0,1,1,2,0,6,1,12,0,0,5,1,7,7,17320,5,4,6,0,河南建业,广州富力
3,3,0,3,2,1,0,4,1,8,0,0,6,1,6,4,17320,1,5,3,0,河南建业,广州富力
3,7,0,2,0,0,0,7,13,11,0,0,12,3,12,16,17321,12,11,13,0,天津泰达,北京中赫国安
2,4,0,1,1,0,0,5,11,4,0,0,6,1,5,11,17321,7,8,7,0,天津泰达,北京中赫国安
1,3,0,1,2,0,0,2,2,7,0,0,6,2,7,5,17321,5,3,6,0,天津泰达,北京中赫国安
0,11,1,1,0,2,0,7,4,33,0,0,14,3,17,19,17322,21,17,8,0,青岛黄海青港,上海上港
0,4,0,0,1,0,0,3,2,15,0,0,12,2,8,11,17322,9,10,3,0,青岛黄海青港,上海上港
0,7,1,1,2,2,0,4,2,18,0,0,2,1,9,8,17322,12,7,5,0,青岛黄海青港,上海上港
1,2,0,3,0,2,0,2,5,22,0,0,10,4,14,16,17323,4,3,9,0,武汉卓尔,石家庄永昌
0,1,0,0,1,1,0,0,1,7,0,0,3,2,6,6,17323,2,2,1,0,武汉卓尔,石家庄永昌
1,1,0,3,2,1,0,2,4,15,0,0,7,2,8,10,17323,2,1,8,0,武汉卓尔,石家庄永昌
3,6,0,3,0,3,0,6,9,23,0,0,14,4,13,17,17324,4,16,18,0,河北华夏幸福,重庆当代
2,2,0,2,1,0,0,3,5,11,0,0,7,2,7,11,17324,2,7,8,0,河北华夏幸福,重庆当代
1,4,0,1,2,3,0,3,4,12,0,0,7,2,6,6,17324,2,9,10,0,河北华夏幸福,重庆当代
2,3,0,0,0,1,0,14,5,19,0,0,11,5,11,13,17325,6,11,19,0,广州恒大淘宝,山东鲁能泰山
1,2,0,0,1,0,0,5,3,10,0,0,6,1,6,6,17325,0,3,10,0,广州恒大淘宝,山东鲁能泰山
1,1,0,0,2,1,0,9,2,9,0,0,5,4,5,7,17325,6,8,9,0,广州恒大淘宝,山东鲁能泰山
0,16,0,2,0,2,0,6,10,12,0,0,19,4,13,21,17326,10,26,19,0,广州富力,江苏苏宁易购
0,7,0,0,1,1,0,3,6,8,0,0,7,4,9,11,17326,4,16,5,0,广州富力,江苏苏宁易购
0,9,0,2,2,1,0,3,4,4,0,0,12,0,4,10,17326,6,10,14,0,广州富力,江苏苏宁易购
0,9,0,4,0,2,0,7,9,39,0,0,12,5,10,18,17327,10,24,16,0,上海绿地申花,大连人
0,3,0,1,1,1,0,4,5,19,0,0,6,2,5,9,17327,3,13,9,0,上海绿地申花,大连人
0,6,0,3,2,1,0,3,4,20,0,0,6,3,5,9,17327,7,11,7,0,上海绿地申花,大连人
4,1,0,3,0,3,0,19,10,18,0,1,12,1,19,18,17328,11,13,19,0,深圳佳兆业,河南建业
2,1,0,0,1,1,0,10,5,9,0,1,8,0,14,9,17328,8,8,10,0,深圳佳兆业,河南建业
2,0,0,3,2,2,0,9,5,9,0,0,4,1,5,9,17328,3,5,9,0,深圳佳兆业,河南建业
3,5,1,1,0,1,0,5,9,18,0,0,9,3,8,17,17329,3,13,10,0,石家庄永昌,天津泰达
1,2,0,2,1,0,0,2,4,14,0,0,4,2,4,12,17329,1,5,5,0,石家庄永昌,天津泰达
2,3,1,0,2,1,0,3,5,4,0,0,5,1,4,5,17329,2,8,5,0,石家庄永昌,天津泰达
9,14,1,3,0,0,0,9,4,10,0,0,21,1,11,15,17330,14,17,42,0,重庆当代,青岛黄海青港
1,5,1,1,1,0,0,6,1,5,0,0,9,0,7,6,17330,11,9,17,0,重庆当代,青岛黄海青港
8,9,0,2,2,0,0,3,3,5,0,0,12,1,4,9,17330,3,8,25,0,重庆当代,青岛黄海青港
1,3,0,3,0,0,0,11,7,7,0,0,14,0,17,10,17331,4,10,36,0,上海上港,武汉卓尔
0,2,0,1,1,0,0,7,4,4,0,0,3,0,10,5,17331,3,1,15,0,上海上港,武汉卓尔
1,1,0,2,2,0,0,4,3,3,0,0,11,0,7,5,17331,1,9,21,0,上海上港,武汉卓尔
2,14,0,2,0,1,0,5,15,30,0,0,4,7,16,17,17332,10,8,13,0,北京中赫国安,河北华夏幸福
0,9,0,0,1,1,0,3,9,12,0,0,0,3,12,6,17332,8,4,9,0,北京中赫国安,河北华夏幸福
2,5,0,2,2,0,0,2,6,18,0,0,4,4,4,11,17332,2,4,4,0,北京中赫国安,河北华夏幸福
5,1,0,3,0,3,0,5,10,13,0,0,11,1,15,20,17333,9,14,13,0,河南建业,广州恒大淘宝
3,1,0,1,1,1,0,5,5,5,0,0,6,0,9,11,17333,4,6,5,0,河南建业,广州恒大淘宝
2,0,0,2,2,2,0,0,5,8,0,0,5,1,6,9,17333,5,8,8,0,河南建业,广州恒大淘宝
5,18,0,4,0,1,0,12,4,12,0,0,19,2,17,17,17334,11,17,29,0,江苏苏宁易购,上海绿地申花
3,7,0,2,1,1,0,1,1,10,0,0,12,2,10,7,17334,4,8,9,0,江苏苏宁易购,上海绿地申花
2,11,0,2,2,0,0,11,3,2,0,0,7,0,7,10,17334,7,9,20,0,江苏苏宁易购,上海绿地申花
2,9,0,3,0,3,0,10,10,23,0,0,11,3,19,14,17335,5,16,7,0,山东鲁能泰山,深圳佳兆业
1,8,0,1,1,1,0,7,2,11,0,0,7,0,10,7,17335,3,12,5,0,山东鲁能泰山,深圳佳兆业
1,1,0,2,2,2,0,3,8,12,0,0,4,3,9,7,17335,2,4,2,0,山东鲁能泰山,深圳佳兆业
5,1,0,3,0,0,0,11,5,8,0,0,12,4,17,9,17336,8,14,25,0,大连人,广州富力
2,0,0,1,1,0,0,9,2,5,0,0,5,2,11,6,17336,4,6,9,0,大连人,广州富力
3,1,0,2,2,0,0,2,3,3,0,0,7,2,6,3,17336,4,8,16,0,大连人,广州富力
3,14,0,0,0,1,0,3,8,44,0,0,10,8,11,15,17337,8,13,6,0,青岛黄海青港,北京中赫国安
0,7,0,0,1,0,0,0,4,19,0,0,7,2,5,5,17337,3,9,5,0,青岛黄海青港,北京中赫国安
3,7,0,0,2,1,0,3,4,25,0,0,3,6,6,10,17337,5,4,1,0,青岛黄海青港,北京中赫国安
3,11,0,4,0,4,0,18,6,15,0,0,21,1,22,8,17338,7,18,33,0,上海上港,石家庄永昌
3,7,0,2,1,2,0,12,5,7,0,0,11,1,12,5,17338,2,11,19,0,上海上港,石家庄永昌
0,4,0,2,2,2,0,6,1,8,0,0,10,0,10,3,17338,5,7,14,0,上海上港,石家庄永昌
3,19,0,2,0,1,0,7,8,29,0,0,14,4,10,16,17339,17,20,11,0,武汉卓尔,重庆当代
1,13,0,0,1,1,0,1,5,11,0,0,5,1,6,7,17339,10,11,5,0,武汉卓尔,重庆当代
2,6,0,2,2,0,0,6,3,18,0,0,9,3,4,9,17339,7,9,6,0,武汉卓尔,重庆当代
3,3,0,1,0,1,0,10,12,29,0,0,16,0,13,15,17340,11,12,10,0,河北华夏幸福,天津泰达
