guestFrontFreeKicks,guestInitAttackRate,guestFreekiscks,guestCorners,guestPassesSuccRate,guestPass,guestShots,guestGoals,half,homeFreekiscks,guestShotsOnTarget,homePassesSuccRate,homeFrontFreeKicks,homePass,homeInitAttackRate,homeGoals,homePenalties,homeShots,homeCorners,guestPenalties,homePossAve,matchHalf,matchId,guestPossAve,homeShotsOnTarget,l_team,r_team
1,0.5,7,0,0.759,237,7,0,2,12,1,0.7,3,170,0.5,0,0,4,2,0,0.456,0,15169,0.544,2,浙江毅腾,浙江绿城
2,0.245,15,2,0.577,260,7,1,0,19,3,0.763,12,561,0.755,0,1,23,6,0,0.642,0,15167,0.358,4,大连超越,延边富德
2,0.281,5,2,0.603,136,3,1,1,10,1,0.735,5,245,0.719,0,1,10,1,0,0.62,0,15167,0.38,1,大连超越,延边富德
0,0.218,10,0,0.548,124,4,0,2,9,2,0.785,7,316,0.782,0,0,13,5,0,0.66,0,15167,0.34,3,大连超越,延边富德
2,0.548,16,12,0.75,496,19,1,0,18,7,0.743,5,401,0.452,1,0,9,0,0,0.456,0,15168,0.544,1,上海申鑫,石家庄永昌
1,0.579,5,8,0.724,246,13,1,1,8,4,0.695,3,167,0.421,1,0,3,0,0,0.443,0,15168,0.557,1,上海申鑫,石家庄永昌
1,0.528,11,4,0.776,250,6,0,2,10,3,0.778,2,234,0.472,0,0,6,0,0,0.467,0,15168,0.533,0,上海申鑫,石家庄永昌
11,0.488,22,4,0.721,377,4,0,0,26,1,0.729,8,384,0.512,3,0,12,4,0,0.49,0,15170,0.51,6,青岛黄海制药,黑龙江火山鸣泉
5,0.389,10,2,0.679,187,2,0,1,10,0,0.707,2,205,0.611,1,0,6,4,0,0.491,0,15170,0.509,4,青岛黄海制药,黑龙江火山鸣泉
6,0.603,12,2,0.763,190,2,0,2,16,1,0.754,6,179,0.397,2,0,6,0,0,0.488,0,15170,0.512,2,青岛黄海制药,黑龙江火山鸣泉
8,0.322,17,1,0.716,289,6,3,0,23,4,0.813,12,504,0.678,1,0,14,5,0,0.588,0,15166,0.412,4,梅县铁汉生态,呼和浩特
1,0.268,7,1,0.678,121,3,1,1,12,1,0.85,7,293,0.732,0,0,6,2,0,0.637,0,15166,0.363,1,梅县铁汉生态,呼和浩特
7,0.381,10,0,0.744,168,3,2,2,11,3,0.763,5,211,0.619,1,0,8,3,0,0.534,0,15166,0.466,3,梅县铁汉生态,呼和浩特
8,0.49,23,12,0.722,388,6,0,0,19,1,0.785,5,428,0.51,4,0,7,2,0,0.519,0,15171,0.481,4,武汉卓尔,辽宁沈阳宏运
3,0.356,10,2,0.741,201,2,0,1,11,0,0.821,5,251,0.644,1,0,2,1,0,0.523,0,15171,0.477,1,武汉卓尔,辽宁沈阳宏运
5,0.635,13,10,0.701,187,4,0,2,8,1,0.734,0,177,0.365,3,0,5,1,0,0.514,0,15171,0.486,3,武汉卓尔,辽宁沈阳宏运
4,0.28,16,6,0.654,211,9,2,0,15,5,0.819,7,448,0.72,1,1,18,8,0,0.602,0,15172,0.398,6,深圳佳兆业,北京北控燕京
1,0.312,6,2,0.717,127,5,1,1,12,3,0.824,4,199,0.688,0,1,5,5,0,0.564,0,15172,0.436,2,深圳佳兆业,北京北控燕京
3,0.253,10,4,0.56,84,4,1,2,3,2,0.815,3,249,0.747,1,0,13,3,0,0.636,0,15172,0.364,4,深圳佳兆业,北京北控燕京
8,0.687,16,3,0.821,552,10,0,0,16,2,0.738,8,301,0.313,3,1,12,3,0,0.402,0,15165,0.598,7,梅州客家,新疆天山雪豹
3,0.571,8,0,0.808,229,3,0,1,12,0,0.782,6,170,0.429,2,1,8,1,0,0.453,0,15165,0.547,5,梅州客家,新疆天山雪豹
5,0.772,8,3,0.83,323,7,0,2,4,2,0.679,2,131,0.228,1,0,4,2,0,0.356,0,15165,0.644,2,梅州客家,新疆天山雪豹
6,0.43,17,0,0.686,449,7,0,0,19,0,0.652,5,408,0.57,0,0,9,5,0,0.48,0,15178,0.52,3,延边富德,上海申鑫
4,0.483,11,0,0.714,231,5,0,1,12,0,0.657,3,201,0.517,0,0,1,0,0,0.486,0,15178,0.514,0,延边富德,上海申鑫
2,0.372,6,0,0.656,218,2,0,2,7,0,0.647,2,207,0.628,0,0,8,5,0,0.473,0,15178,0.527,3,延边富德,上海申鑫
8,0.568,20,2,0.812,544,7,0,0,17,2,0.711,4,356,0.432,1,0,13,8,0,0.433,0,15173,0.567,1,北京北控燕京,新疆天山雪豹
4,0.565,7,0,0.805,282,3,0,1,9,1,0.7,3,200,0.435,1,0,7,5,0,0.448,0,15173,0.552,1,北京北控燕京,新疆天山雪豹
4,0.571,13,2,0.821,262,4,0,2,8,1,0.724,1,156,0.429,0,0,6,3,0,0.417,0,15173,0.583,0,北京北控燕京,新疆天山雪豹
7,0.464,21,9,0.691,314,12,1,0,15,2,0.765,8,379,0.536,2,1,15,6,0,0.534,0,15176,0.466,6,浙江绿城,黑龙江火山鸣泉
2,0.399,9,5,0.664,140,8,0,1,8,0,0.777,4,202,0.601,1,0,7,3,0,0.556,0,15176,0.444,4,浙江绿城,黑龙江火山鸣泉
5,0.541,12,4,0.713,174,4,1,2,7,2,0.751,4,177,0.459,1,1,8,3,0,0.511,0,15176,0.489,2,浙江绿城,黑龙江火山鸣泉
10,0.562,18,6,0.795,390,12,1,0,23,3,0.741,9,259,0.438,3,1,17,4,1,0.429,0,15179,0.571,8,梅县铁汉生态,大连超越
3,0.491,6,2,0.794,199,5,1,1,14,2,0.768,4,181,0.509,2,0,10,0,1,0.474,0,15179,0.526,4,梅县铁汉生态,大连超越
7,0.627,12,4,0.796,191,7,0,2,9,1,0.679,5,78,0.373,1,1,7,4,0,0.372,0,15179,0.628,4,梅县铁汉生态,大连超越
3,0.607,16,7,0.769,416,14,1,0,23,7,0.796,10,338,0.393,2,0,13,0,0,0.469,0,15174,0.531,4,武汉卓尔,深圳佳兆业
2,0.487,8,2,0.746,189,5,1,1,10,4,0.819,5,243,0.513,2,0,8,0,0,0.538,0,15174,0.462,3,武汉卓尔,深圳佳兆业
1,0.716,8,5,0.789,227,9,0,2,13,3,0.737,5,95,0.284,0,0,5,0,0,0.397,0,15174,0.603,1,武汉卓尔,深圳佳兆业
7,0.378,20,8,0.727,315,9,1,0,17,2,0.847,6,457,0.622,2,0,10,4,0,0.585,0,15175,0.415,4,青岛黄海制药,辽宁沈阳宏运
5,0.447,14,5,0.78,164,6,1,1,5,2,0.839,3,224,0.553,2,0,4,3,0,0.582,0,15175,0.418,2,青岛黄海制药,辽宁沈阳宏运
2,0.318,6,3,0.669,151,3,0,2,12,0,0.854,3,233,0.682,0,0,6,1,0,0.588,0,15175,0.412,2,青岛黄海制药,辽宁沈阳宏运
9,0.466,26,3,0.703,286,9,1,0,29,4,0.781,16,443,0.534,1,0,9,2,0,0.58,0,15177,0.42,2,石家庄永昌,浙江毅腾
4,0.527,10,0,0.713,174,4,1,1,12,2,0.757,8,218,0.473,0,0,6,0,0,0.548,0,15177,0.452,1,石家庄永昌,浙江毅腾
5,0.411,16,3,0.688,112,5,0,2,17,2,0.804,8,225,0.589,1,0,3,2,0,0.615,0,15177,0.385,1,石家庄永昌,浙江毅腾
7,0.365,20,3,0.766,346,14,1,0,15,8,0.81,9,415,0.635,3,0,19,11,0,0.542,0,15180,0.458,6,梅州客家,呼和浩特
2,0.294,10,0,0.779,190,6,1,1,8,5,0.855,7,248,0.706,2,0,11,3,0,0.558,0,15180,0.442,5,梅州客家,呼和浩特
5,0.437,10,3,0.75,156,8,0,2,7,3,0.743,2,167,0.563,1,0,8,8,0,0.524,0,15180,0.476,1,梅州客家,呼和浩特
9,0.471,22,4,0.725,488,10,2,0,20,4,0.738,13,450,0.529,3,0,14,3,0,0.499,0,15183,0.501,7,上海申鑫,梅县铁汉生态
1,0.409,7,1,0.733,236,5,2,1,7,2,0.771,5,271,0.591,3,0,8,2,0,0.541,0,15183,0.459,5,上海申鑫,梅县铁汉生态
8,0.537,15,3,0.718,252,5,0,2,13,2,0.687,8,179,0.463,0,0,6,1,0,0.456,0,15183,0.544,2,上海申鑫,梅县铁汉生态
7,0.571,18,4,0.736,469,9,2,0,16,3,0.684,5,414,0.429,1,0,11,5,0,0.461,0,15186,0.539,3,辽宁沈阳宏运,浙江绿城
3,0.647,11,2,0.79,248,6,1,1,8,2,0.698,3,192,0.353,1,0,6,1,0,0.428,0,15186,0.572,2,辽宁沈阳宏运,浙江绿城
4,0.509,7,2,0.674,221,3,1,2,8,1,0.671,2,222,0.491,0,0,5,4,0,0.493,0,15186,0.507,1,辽宁沈阳宏运,浙江绿城
10,0.409,19,7,0.722,277,16,4,0,24,7,0.831,11,526,0.591,1,0,12,4,0,0.599,0,15181,0.401,2,新疆天山雪豹,呼和浩特
4,0.437,10,3,0.669,136,8,2,1,10,3,0.838,4,278,0.563,0,0,4,2,0,0.613,0,15181,0.387,0,新疆天山雪豹,呼和浩特
6,0.383,9,4,0.773,141,8,2,2,14,4,0.823,7,248,0.617,1,0,8,2,0,0.585,0,15181,0.415,2,新疆天山雪豹,呼和浩特
11,0.522,18,2,0.677,356,11,1,0,28,4,0.692,9,380,0.478,1,0,11,8,0,0.496,0,15185,0.504,6,石家庄永昌,黑龙江火山鸣泉
4,0.564,6,1,0.63,181,5,0,1,12,1,0.688,2,208,0.436,1,0,4,4,0,0.512,0,15185,0.488,3,石家庄永昌,黑龙江火山鸣泉
7,0.486,12,1,0.726,175,6,1,2,16,3,0.698,7,172,0.514,0,0,7,4,0,0.479,0,15185,0.521,3,石家庄永昌,黑龙江火山鸣泉
10,0.464,27,5,0.707,290,11,1,0,15,2,0.676,9,262,0.536,2,0,13,7,0,0.469,0,15187,0.531,5,深圳佳兆业,青岛黄海制药
5,0.397,10,1,0.681,144,2,0,1,9,0,0.719,5,135,0.603,0,0,6,3,0,0.496,0,15187,0.504,2,深圳佳兆业,青岛黄海制药
5,0.531,17,4,0.733,146,9,1,2,6,2,0.63,4,127,0.469,2,0,7,4,0,0.44,0,15187,0.56,3,深圳佳兆业,青岛黄海制药
5,0.425,18,3,0.78,359,10,1,0,11,3,0.759,4,357,0.575,1,0,11,13,1,0.506,0,15188,0.494,5,北京北控燕京,武汉卓尔
3,0.363,9,1,0.755,159,5,0,1,4,1,0.809,2,215,0.637,1,0,9,7,0,0.546,0,15188,0.454,5,北京北控燕京,武汉卓尔
2,0.482,9,2,0.8,200,5,1,2,7,2,0.683,2,142,0.518,0,0,2,6,1,0.462,0,15188,0.538,0,北京北控燕京,武汉卓尔
2,0.451,16,5,0.79,420,8,1,0,13,3,0.83,8,453,0.549,2,0,9,4,0,0.515,0,15182,0.485,4,梅州客家,大连超越
0,0.364,7,1,0.822,202,1,0,1,7,0,0.865,4,259,0.636,0,0,6,3,0,0.531,0,15182,0.469,2,梅州客家,大连超越
2,0.519,9,4,0.761,218,7,1,2,6,3,0.784,4,194,0.481,2,0,3,1,0,0.498,0,15182,0.502,2,梅州客家,大连超越
8,0.321,17,4,0.68,331,8,1,0,20,4,0.773,8,458,0.679,1,0,16,1,0,0.57,0,15184,0.43,4,浙江毅腾,延边富德
4,0.42,9,3,0.658,184,4,0,1,11,2,0.677,5,167,0.58,1,0,4,1,0,0.508,0,15184,0.492,2,浙江毅腾,延边富德
4,0.256,8,1,0.707,147,4,1,2,9,2,0.828,3,291,0.744,0,0,12,0,0,0.619,0,15184,0.381,2,浙江毅腾,延边富德
9,0.438,14,3,0.675,409,14,3,0,22,7,0.698,13,440,0.562,2,0,14,2,2,0.496,0,15193,0.504,5,延边富德,黑龙江火山鸣泉
3,0.482,4,2,0.622,217,7,1,1,11,2,0.633,6,188,0.518,0,0,6,1,1,0.451,0,15193,0.549,3,延边富德,黑龙江火山鸣泉
6,0.401,10,1,0.734,192,7,2,2,11,5,0.746,7,252,0.599,2,0,8,1,1,0.539,0,15193,0.461,2,延边富德,黑龙江火山鸣泉
3,0.286,14,2,0.655,264,8,2,0,26,4,0.771,14,510,0.714,1,0,19,5,0,0.595,0,15195,0.405,6,上海申鑫,梅州客家
2,0.196,9,0,0.651,106,2,0,1,12,2,0.801,6,281,0.804,0,0,6,3,0,0.648,0,15195,0.352,0,上海申鑫,梅州客家
1,0.369,5,2,0.658,158,6,2,2,14,2,0.734,8,229,0.631,1,0,13,2,0,0.547,0,15195,0.453,6,上海申鑫,梅州客家
3,0.338,12,2,0.77,322,6,2,0,16,4,0.81,6,420,0.662,1,0,12,6,0,0.584,0,15196,0.416,3,呼和浩特,大连超越
2,0.33,7,1,0.781,169,3,0,1,7,2,0.838,4,228,0.67,0,0,3,1,0,0.597,0,15196,0.403,0,呼和浩特,大连超越
1,0.343,5,1,0.758,153,3,2,2,9,2,0.776,2,192,0.657,1,0,9,5,0,0.569,0,15196,0.431,3,呼和浩特,大连超越
9,0.463,21,5,0.381,202,7,0,0,28,2,0.496,8,230,0.537,2,0,9,2,0,0.528,0,15190,0.472,2,青岛黄海制药,北京北控燕京
5,0.503,9,3,0.319,91,4,0,1,15,0,0.451,4,113,0.497,1,0,3,2,0,0.517,0,15190,0.483,1,青岛黄海制药,北京北控燕京
4,0.429,12,2,0.432,111,3,0,2,13,2,0.538,4,117,0.571,1,0,6,0,0,0.541,0,15190,0.459,1,青岛黄海制药,北京北控燕京
6,0.351,15,4,0.695,305,8,0,0,26,2,0.782,10,449,0.649,3,0,18,12,0,0.58,0,15189,0.42,7,武汉卓尔,新疆天山雪豹
3,0.252,8,2,0.685,143,3,0,1,11,0,0.81,7,253,0.748,1,0,12,9,0,0.6,0,15189,0.4,5,武汉卓尔,新疆天山雪豹
3,0.49,7,2,0.704,162,5,0,2,15,2,0.745,3,196,0.51,2,0,6,3,0,0.56,0,15189,0.44,2,武汉卓尔,新疆天山雪豹
